"Brand,""Sottobrand"",""Tipologia"",""EAN"",""COD."",""Descrizione"",""PZ / CRT"",""listino unitario  2025"",""Prezzo netto"""
"Loctite Super Attak,""Liquidi"",""STD"",""8000776157658"",""2632156"",""LOCTITE Super Attak Original 3g"",""24"",""3.46"",""0"""
"Loctite Super Attak,""Liquidi"",""STD"",""8000776157658"",""2971871"",""LOCTITE Super Attak Original 3g - Ocean"",""24"",""3.46"",""0"""
"Loctite Super Attak,""Liquidi"",""STD"",""8000776157658"",""2907983"",""LOCTITE Super Attak Original 3g - Palbox 96pz"",""96"",""3.46"",""0"""
"Loctite Super Attak,""Liquidi"",""STD"",""8000776157658"",""2632657"",""LOCTITE Super Attak Original 3g - Palbox 144pz"",""144"",""3.46"",""0"""
"Loctite Super Attak,""Liquidi"",""STD"",""8004630905942"",""2632805"",""LOCTITE Super Attak Original Bipack 3g+3g"",""24"",""5.84"",""0"""
"Loctite Super Attak,""Liquidi"",""PROM"",""8004630905942"",""3035441"",""LOCTITE Super Attak Original Bipack 3g+3g - Strip 2x12pz"",""24"",""5.84"",""0"""
"Loctite Super Attak,""Liquidi"",""STD"",""8004630905942"",""2632654"",""LOCTITE Super Attak Original Bipack 3g+3g - Palbox 96pz"",""96"",""5.84"",""0"""
"Loctite Super Attak,""Liquidi"",""STD"",""8000776157665"",""2632228"",""LOCTITE Super Attak Precision 5g"",""24"",""5.18"",""0"""
"Loctite Super Attak,""Liquidi"",""STD"",""8000776157665"",""2633891"",""LOCTITE Super Attak Precision 5g - 2 Strip da 12pz"",""24"",""5.18"",""0"""
"Loctite Super Attak,""Liquidi"",""STD"",""8000776157665"",""2632658"",""LOCTITE Super Attak Precision 5g - Palbox 96pz"",""96"",""5.18"",""0"""
"Loctite Super Attak,""Liquidi"",""STD"",""8000776157665"",""2632653"",""LOCTITE Super Attak Precision 5g - Palbox 144pz"",""144"",""5.18"",""0"""
"Loctite Super Attak,""Liquidi"",""STD"",""8000776281841"",""2632157"",""LOCTITE Super Attak Brush 5g"",""12"",""5.77"",""0"""
"Loctite Super Attak,""Liquidi"",""STD"",""8000776281841"",""2633683"",""LOCTITE Super Attak Brush 5g - 2 Strip da 6pz"",""12"",""5.77"",""0"""
"Loctite Super Attak,""Liquidi"",""STD"",""8000776281841"",""2632656"",""LOCTITE Super Attak Brush 5g - Palbox 72pz"",""72"",""5.77"",""0"""
"Loctite Super Attak,""Liquidi"",""STD"",""8000776164984"",""2631647"",""LOCTITE Super Attak Maxi 10g"",""24"",""9.79"",""0"""
"Loctite Super Attak,""Liquidi"",""STD"",""8004630889563"",""2632807"",""LOCTITE Super Attak Professional 20g"",""12"",""14.72"",""0"""
"Loctite Super Attak,""Liquidi"",""STD"",""8004630883929"",""2632816"",""LOCTITE Super Attak 3g SCUOLA/UFFICIO"",""24"",""3.46"",""0"""
"Loctite Super Attak,""Liquidi"",""STD"",""8004630883929"",""2971886"",""LOCTITE Super Attak 3g Scuola Ufficio Ocean"",""24"",""3.46"",""0"""
"Loctite Super Attak,""Liquidi"",""PROM"",""8004630883929"",""1578034"",""LOCTITE Super Attak 3g SCUOLA UFFICIO - Palbox 96pz"",""96"",""3.46"",""0"""
"Loctite Super Attak,""Liquidi"",""STD"",""8004630883912"",""2632155"",""LOCTITE Super Attak 5g SCUOLA/UFFICIO"",""24"",""5.18"",""0"""
"Loctite Super Attak,""Liquidi"",""STD"",""8004630883912"",""2986111"",""LOCTITE Super Attak 5g Scuola Ufficio Ocean"",""24"",""5.18"",""0"""
"Loctite Super Attak,""Liquidi"",""STD"",""8004630883912"",""2633894"",""LOCTITE Super Attak 5g SCUOLA - 2 Strip da 12pz"",""24"",""5.18"",""0"""
"Loctite Super Attak,""Liquidi"",""STD"",""8004630883912"",""2632652"",""LOCTITE Super Attak 5g SCUOLA - Palbox 96pz"",""96"",""5.18"",""0"""
"Loctite Super Attak,""Liquidi"",""STD"",""8004630919673"",""2631597"",""LOCTITE Super Attak Mini Dosi Liquido 3x1g"",""24"",""3.89"",""0"""
"Loctite Super Attak,""Liquidi"",""STD"",""8004630919673"",""2633895"",""LOCTITE Super Attak Mini Dosi Liquido 3x1g - 2 Strip da 12pz"",""24"",""3.89"",""0"""
"Loctite Super Attak,""Liquidi"",""STD"",""8004630919673"",""2632651"",""LOCTITE Super Attak Mini Dosi Liquido 3x1g - palbox"",""96"",""3.89"",""0"""
"Loctite Super Attak,""Liquidi"",""PROM"",""8004630922918"",""2737514"",""LOCTITE Super Attak Original 2g+2g"",""36"",""4.07"",""0"""
"Loctite Super Attak,""Liquidi"",""PROM"",""8004630922918"",""2624473"",""LOCTITE Super Attak Original 2g+2g – 3 strip da 12pz"",""36"",""4.07"",""0"""
"Loctite Super Attak,""Liquidi"",""PROM"",""8004630922918"",""2746095"",""LOCTITE Super Attak Original 2g+2g – Palbox 108pz"",""108"",""4.07"",""0"""
"Loctite Super Attak,""Liquidi"",""Ad Hoc"",""8004630932719"",""2971881"",""LOCTITE SUPERATTACK Original Trispack 3x2g - OCEAN"",""48"",""6.00"",""0"""
"Loctite Super Attak,""Liquidi"",""Ad Hoc"",""8004630914180"",""2632154"",""LOCTITE Super Attak Super Facile 5g "",""48"",""5.13"",""0"""
"Loctite Super Attak,""Liquidi"",""Ad Hoc"",""8004630914180"",""2797550"",""LOCTITE Super Attak Super Facile 5g  - 4 strip da 12pz"",""48"",""5.13"",""0"""
"Loctite Super Attak,""Liquidi"",""Ad Hoc"",""8004630914180"",""2632655"",""LOCTITE Super Attak Super Facile 5g - Palbox 96pz"",""96"",""5.13"",""0"""
"Loctite Super Attak,""Gel"",""STD"",""8004630917440"",""2954983"",""LOCTITE Super Attak Creative 3g - Ocean"",""12"",""5.67"",""0"""
"Loctite Super Attak,""Gel"",""STD"",""8004630917440"",""2633709"",""LOCTITE Super Attak Creative 3g  - Strip 12pz"",""12"",""5.67"",""0"""
"Loctite Super Attak,""Gel"",""STD"",""8004630917440"",""2632580"",""LOCTITE Super Attak Creative 3g  - Palbox 96pz"",""96"",""5.67"",""0"""
"Loctite Super Attak,""Gel"",""PROM"",""8004630917440"",""2797549"",""LOCTITE Super Attak Creative 3g promo 33% gratis - Palbox 60pz"",""60"",""5.67"",""0"""
"Loctite Super Attak,""Gel"",""STD"",""8004630921386"",""2954132"",""Loctite Super Attak Creative 3g Scuola Ufficio - Ocean"",""12"",""5.67"",""0"""
"Loctite Super Attak,""Gel"",""STD"",""8004630921386"",""2633671"",""LOCTITE Super Attak Creative 3g Scuola Ufficio - Strip 12pz"",""12"",""5.67"",""0"""
"Loctite Super Attak,""Gel"",""STD"",""8004630921386"",""2633176"",""LOCTITE Super Attak Creative 3g Scuola Ufficio - Palbox 96pz"",""96"",""5.67"",""0"""
"Loctite Super Attak,""Gel"",""STD"",""8004630904327"",""2947515"",""LOCTITE Super Attak Power Gel 3g - Ocean"",""24"",""3.93"",""0"""
"Loctite Super Attak,""Gel"",""STD"",""8004630904327"",""2633675"",""LOCTITE Super Attak Power Gel 3g - 2 Strip da 12pz"",""24"",""3.93"",""0"""
"Loctite Super Attak,""Gel"",""STD"",""8004630904327"",""2923199"",""LOCTITE Super Attak Power Gel 3g - Palbox 72pz"",""72"",""3.93"",""0"""
